Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
Lic Mf Arbitrage Fund Reg(G),Sumit Bhatnagar,Hy Arb,237.6,0.99,Open Ended,25-01-2019,Nifty 50 Arbitrage,0.61,1.76,3.34,7.05,6.91,5.96,4.9,,44.77,17.13,5.48,Financials,3.25,3.08,6.68,-0.11,0.94,6.73,5.97,0.14,Mid,7.12,Low,6.34,TRUE,4.88,0,0,0,0,1,1.9,5.43
Lic Mf Balanced Advantage Fund Reg(G),Yogesh Patil,Hy Eq,797.1,2.28,Open Ended,12-11-2021,Nifty 50,0.6,-0.63,3.6,12.52,13.24,10.64,,,56.8,7.64,10.96,Financials,4.08,1.13,1.67,1.41,7.3,3.93,11.58,0.18,Large,5.49,Medium,1.46,FALSE,1.4,0,0,0,1,1,1.19,10.64
Lic Mf Banking & Financial Services Fund Reg(G),Jaiprakash Toshniwal,Eq Fin,263.1,2.42,Open Ended,27-03-2015,Nifty Financial Services Tri,-2.33,-6.14,-6.33,0.42,10.75,13.72,9.45,,60.83,9.77,27.78,Financials,-7.26,-0.13,-0.19,1.02,16.29,10.56,7.86,5.76,Mid,0.17,High,0.84,FALSE,-0.16,1,0,0,0,0,-4.93,11.58
Lic Mf Banking & Psu Fund Reg(G),Marzban Irani,Dt B&Psu,1851.9,0.78,Open Ended,30-05-2007,Nifty Banking And Psu Debt Index,0.46,1.37,3.88,7.75,7.13,5.76,5.65,6.55,,,, ,2.65,5.15,10.04,0.34,0.71,18.39,6.43,0.1,Large,9.94,Low,8.11,TRUE,7.6,0,0,0,0,1,1.9,5.99
Lic Mf Bse Sensex Etf,Sumit Bhatnagar,Eq Etf,835.8,0.1,Open Ended,30-11-2015,Bse Sensex Tri,-1.64,-6.7,-0.87,9.75,15.58,12.39,15.15,,99.26,0.72,,Financials,1.34,0.46,0.71,1,13.9,9.88,12.43,0.01,Large,97.5,Medium,0.89,FALSE,0.58,0,1,0,0,1,-3.07,13.77
Lic Mf Bse Sensex Index Fund Reg(G),Sumit Bhatnagar,Eq Indx,83.9,1.08,Open Ended,28-11-2002,Bse Sensex Tri,-1.73,-6.93,-1.34,8.7,14.48,11.28,14.06,10.98,99,0.71,,Financials,0.35,0.39,0.6,0.99,13.87,22.9,11.26,0.12,Small,8.06,Medium,0.81,TRUE,0.5,0,1,0,0,1,-3.33,12.11
Lic Mf Childrens Fund Reg(G),Nikhil Rungta,Hy Sol,16.6,2.45,Open Ended,16-10-2001,Crisil Hybrid 35+65 Aggressive Index,2.61,-0.9,5.33,19.72,21.58,13.64,13.67,9.18,42.8,7.43,37.53,Financials,10.16,1.14,1.69,1.71,13.35,24.02,14.05,0.12,Small,8.05,Medium,1.02,FALSE,1.42,0,1,1,0,1,2.35,12.16
Lic Mf Conservative Hybrid Fund(G),Pratik Shroff,Hy Dt(Co),50.2,2.25,Open Ended,01-04-1998,Crisil Hybrid 85+15 Conservative Index,0.02,-0.48,3.15,8.26,7.93,5.58,6.73,6.43,18.79,,1.62,Financials,1.86,1.32,2.42,0.77,3.16,27.56,6.75,0.27,Small,3.67,Low,1.77,TRUE,1.87,0,0,0,0,0,0.9,6.25
Lic Mf Dividend Yield Fund Reg(G),Dikshit Mittal,Eq Div,463.6,2.46,Open Ended,21-12-2018,Nifty 500 Tri,-0.16,-6.89,2.46,32.5,33.37,20.79,23.16,,44.97,13.62,38.99,Financials,21.39,1.58,2.3,0.98,16.71,6.82,25.48,0.08,Mid,13.21,High,1.24,TRUE,1.94,0,1,1,0,1,-1.53,21.98
Lic Mf Elss Tax Saver Reg(G),Yogesh Patil,Eq Elss,1147.4,2.13,Open Ended,31-03-1998,Nifty 500 Tri,1.23,-3.7,3.61,23.7,25.9,16.07,16.42,12.26,63.09,15.4,20.57,Financials,13.91,1.33,2.04,0.87,13.77,27.56,17.11,0.09,Large,11.13,Medium,1.17,TRUE,1.68,0,1,1,0,1,0.38,14.92
Lic Mf Equity Savings Fund(G),Sumit Bhatnagar,Hy Eq,20.2,2.04,Open Ended,07-03-2011,Nifty 50 Equity Savings Index,0.25,-0.71,2.07,8.96,10.77,8.14,8.8,6.72,44.8,10.37,18.04,Financials,2.39,0.77,1.09,0.93,6.65,14.62,8.16,0.23,Small,4.39,Medium,1.22,TRUE,0.93,0,0,0,0,0,0.54,7.89
Lic Mf Flexi Cap Fund Reg(G),Nikhil Rungta,Eq Flex,1075.4,2.27,Open Ended,31-03-1998,Nifty 500 Tri,-0.58,-5.67,0.55,18.96,24.62,14.98,14.86,9.42,37.4,14.49,45.85,Financials,10.74,1.03,1.51,0.86,14.64,27.56,14.56,0.12,Large,8.35,Medium,1.02,TRUE,1.27,0,1,1,0,1,-1.9,13.09
Lic Mf Focused Fund Reg(G),Jaiprakash Toshniwal,Eq Lc,143.1,2.51,Open Ended,17-11-2017,Nifty 500 Tri,-2.24,-8.91,0.02,13.02,16.47,11.2,15.57,,45.8,12.48,36.57,Financials,5.59,0.69,1.08,0.82,14.06,7.92,13.26,0.19,Mid,5.19,Medium,0.8,TRUE,0.88,0,1,0,0,1,-3.71,13.38
Lic Mf Gilt Fund Pf(G),Marzban Irani,Dt Gilt,94.7,1.48,Open Ended,29-12-2003,Nifty All Duration G Sec Index,0.35,0.07,3.51,8.57,7.3,5.43,5.7,6.79,,,, ,0.66,1.91,3.29,1.2,2.21,21.81,6.62,0.17,Small,5.79,Low,2.46,FALSE,2.6,0,0,0,0,1,1.31,5.97
Lic Mf Gilt Fund Reg(G),Marzban Irani,Dt Gilt,94.7,1.48,Open Ended,29-11-1999,Nifty All Duration G Sec Index,0.35,0.07,3.51,8.57,7.3,5.43,5.7,6.77,,,, ,0.66,1.91,3.29,1.2,2.21,25.9,6.62,0.17,Small,5.79,Low,2.46,FALSE,2.6,0,0,0,0,1,1.31,5.97
Lic Mf Gold Etf,Sumit Bhatnagar,Gold Etf,170,0.41,Open Ended,09-11-2011,Gold India,-0.59,0.55,5.72,19.22,17.45,16.41,13.76,10.15,,,, ,15.88,1.01,1.43,-0.22,15.06,13.95,14.88,0.02,Mid,46.88,High,1.09,TRUE,1.22,0,1,1,0,1,1.89,13.44
Lic Mf Gold Etf Fof(G),Sumit Bhatnagar,Gold Mf,70,0.67,Open Ended,14-08-2012,Gold India,-0.3,0.42,5.9,18.99,16.61,15.39,12.9,8.94,,,, ,15.3,1.06,1.69,-0.05,14.31,13.18,14.05,0.04,Small,28.34,Medium,1.08,TRUE,1.38,0,1,1,0,1,2.01,12.41
Lic Mf Healthcare Fund Reg(G),Karan Doshi,Eq Phrm,84.2,2.44,Open Ended,28-02-2019,Bse Health Care Tri,0.98,2.78,23.1,42.5,35.31,16.78,23.44,,28.59,27.48,39.76,Healthcare,30.49,2.39,4.27,0.49,13.77,6.64,27.57,0.06,Small,17.42,Medium,1.22,TRUE,3.33,0,1,1,0,1,8.95,20.11
Lic Mf Infra Fund Reg(G),Yogesh Patil,Eq Infra,852.1,2.3,Open Ended,24-03-2008,Nifty Infrastructure Tri,1.32,-1.01,2.35,48.15,47.09,32.92,27.64,15.65,20.51,20.99,53.1,Capital Goods,33.97,1.81,2.64,1.02,21.66,17.58,31.09,0.05,Large,20.93,High,1.52,FALSE,2.22,0,1,1,0,1,0.89,25.4
Lic Mf Large & Midcap Fund Reg(G),Yogesh Patil,Eq L&M,3125.6,1.91,Open Ended,25-02-2015,Nifty Largemidcap 250 Tri,0.82,-3.56,2.16,28.27,28.52,17.37,19.58,,42.22,30.54,24.07,Financials,18.19,1.42,2.09,0.96,16.21,10.65,21.74,0.07,Mega,14.8,High,1.07,TRUE,1.76,0,1,1,0,1,-0.19,18.48
Lic Mf Large Cap Fund Reg(G),Nikhil Rungta,Eq Lc,1474.2,2.12,Open Ended,31-03-1998,Nifty 100 Tri,-0.98,-6.93,-0.46,14.88,16.58,10.3,13.46,10.53,81.87,3.86,12.57,Financials,6.07,0.76,1.11,1,14.67,27.56,12.29,0.14,Large,7.02,Medium,0.7,FALSE,0.94,0,1,0,0,1,-2.79,11.43
Lic Mf Liquid Fund Reg(G),Rahul Singh,Dt Liq,10650.3,0.21,Open Ended,13-03-2002,Crisil Liquid Debt Index,0.58,1.73,3.54,7.38,7.16,6.36,5.31,6.28,,,, ,0.76,9.89,5.56,,0.08,23.61,6.33,0.03,Mega,35.14,Low,79.5,FALSE,7.72,0,0,0,0,1,1.95,5.98
Lic Mf Low Duration Fund(G),Rahul Singh,Dt Lowd,1879.3,0.96,Open Ended,04-06-2003,Crisil Low Duration Debt Index,0.61,1.66,3.51,7.1,6.83,5.83,5.62,6.13,,,, ,2.85,9.61,19.63,0.07,0.32,22.38,6.17,0.14,Large,7.4,Low,18.22,TRUE,14.62,0,0,0,0,1,1.93,5.86
Lic Mf Manufacturing Fund Reg(G),Yogesh Patil,Eq Them,928.4,2.18,Open Ended,11-10-2024,Nifty India Manufacturing Tri,-1.13,,,,,,,,32.97,18.82,36.72,Capital Goods,,,,,,1.01,,,Large,,,,FALSE,,0,0,0,1,0,-1.13,
Lic Mf Medium To Long Duration Fund Reg(G),Marzban Irani,Dt M&Ld,181.3,1.22,Open Ended,15-09-1999,Crisil Medium To Long Term Debt Index,0.64,1.26,4.44,9.21,7.8,6.12,5.63,6.26,,,, ,2.47,3.05,5.89,0.81,1.6,26.1,6.8,0.13,Mid,7.55,Low,3.82,TRUE,4.47,0,0,0,0,1,2.11,6
Lic Mf Midcap Fund(G),Karan Doshi,Eq Mid,319.5,2.52,Open Ended,25-01-2017,Nifty Midcap 150 Tri,2.16,-4.69,1.69,29.91,33.72,19.76,23.59,,14.89,59.43,23.7,Automobile And Ancillaries,19.5,1.43,2.17,0.9,16.85,8.73,24.42,0.08,Mid,11.87,High,1.17,TRUE,1.8,0,1,1,0,1,-0.28,21.68
Lic Mf Money Market Fund Reg(G),Rahul Singh,Dt Mm,24.4,1.02,Open Ended,01-08-2022,Nifty Money Market Index,0.52,1.38,2.8,6.03,6.13,,,,,,, ,1.97,8.09,17.15,0.02,0.25,3.21,6.03,0.17,Small,5.91,Low,,TRUE,12.62,0,0,0,1,1,1.57,
Lic Mf Multi Cap Fund Reg(G),Dikshit Mittal,Eq Mlc,1417,2.06,Open Ended,31-10-2022,Nifty500 Multicap 50 - 25 - 25 Tri,1.25,-2.47,5.1,32.86,32.66,,,,32.25,25.91,39.14,Financials,22.2,1.71,2.53,0.87,15.57,2.96,32.86,0.06,Large,15.95,High,,TRUE,2.12,0,1,1,1,1,1.29,
Lic Mf Nifty 100 Etf,Sumit Bhatnagar,Eq Etf,720.5,0.28,Open Ended,17-03-2016,Nifty 100 Tri,-1.84,-8.43,-1.95,12.96,17.6,13.28,15.98,,96.84,3.09,,Financials,4.28,0.65,0.96,1.02,14.56,9.59,14.07,0.02,Large,46.29,Medium,0.91,FALSE,0.8,0,1,1,0,1,-4.07,14.63
Lic Mf Nifty 50 Etf,Sumit Bhatnagar,Eq Etf,832.1,0.06,Open Ended,20-11-2015,Nifty 50 Tri,-1.61,-7.83,-1.27,10.34,16.36,12.84,15.66,,98.67,1.25,,Financials,1.89,0.5,0.76,0.99,13.96,9.91,12.95,0.01,Large,172.33,Medium,0.92,TRUE,0.63,0,1,0,0,1,-3.57,14.25
Lic Mf Nifty 50 Index Fund(G),Sumit Bhatnagar,Eq Indx,319.3,1.01,Open Ended,28-11-2002,Nifty 50 Tri,-1.7,-8.08,-1.76,9.25,15.2,11.74,14.45,11.02,98.46,1.23,,Financials,0.88,0.42,0.64,0.99,13.94,22.9,11.61,0.11,Mid,9.16,Medium,0.84,TRUE,0.53,0,1,0,0,1,-3.85,12.4
Lic Mf Nifty 8 13 Yr G Sec Etf,Marzban Irani,Dt Etf,2440.6,0.16,Open Ended,24-12-2014,Nifty 8 13 Yr G Sec,0.41,1.04,4.84,9.51,8.64,5.99,5.98,7.07,,,, ,1.86,2.47,4.38,1.13,2.11,10.82,7.14,0.02,Mega,59.44,Low,2.84,FALSE,3.42,0,0,0,0,1,2.1,6.35
Lic Mf Nifty Midcap 100 Etf,Sumit Bhatnagar,Eq Etf,696.7,0.16,Open Ended,19-02-2024,Nifty Midcap 100 Tri,1.86,-4.77,2.12,,,,,,8.01,88.99,2.87,Financials,,,,,,1.66,,,Large,,,,FALSE,,0,1,0,1,0,-0.26,
Lic Mf Nifty Next 50 Index Fund(G),Sumit Bhatnagar,Eq Indx,96.9,0.9,Open Ended,20-09-2010,Nifty Next 50 Tri,-3.46,-11.65,-5.56,27.28,27.23,17.59,18.91,13.31,87.79,11.68,,Financials,16.91,1.13,1.63,1.14,20.08,15.08,19.27,0.03,Small,30.31,High,0.88,FALSE,1.38,0,1,1,0,1,-6.89,16.6
Lic Mf Overnight Fund Reg(G),Rahul Singh,Dt On,821.4,0.2,Open Ended,18-07-2019,Nifty 1D Rate Index,0.55,1.59,3.21,6.58,6.55,5.9,4.8,,,,, ,0.25,26.5,1.8,,0.01,6.25,5.76,0.03,Large,32.9,Low,590,FALSE,14.15,0,0,0,0,1,1.78,5.35
Lic Mf Short Duration Fund Reg(G),Marzban Irani,Dt Sd,108.5,1.33,Open Ended,01-02-2019,Crisil Short Duration Debt Index,0.48,1.37,3.78,7.42,6.78,5.18,5.17,,,,, ,2.39,4.91,10.16,0.32,0.68,6.71,5.92,0.18,Mid,5.58,Low,7.62,TRUE,7.54,0,0,0,0,1,1.88,5.18
Lic Mf Small Cap Fund(G),Nikhil Rungta,Eq Sml,411.4,2.49,Open Ended,21-06-2017,Nifty Smallcap 250 Tri,2.53,0.26,7.08,40.83,37.5,24.9,30.42,,2.05,9.97,85.13,Capital Goods,29.03,1.69,2.48,0.82,19.65,8.33,32.05,0.06,Mid,16.4,High,1.27,TRUE,2.08,0,1,1,0,1,3.29,27.66
Lic Mf Ulis,Dikshit Mittal,Hy Sol,498.7,2.39,Open Ended,19-06-1989,Crisil Hybrid 35+65 Aggressive Index,-0.78,-4.59,0.93,12.08,14.93,9.89,12.25,9.52,47.72,6.9,18.53,Financials,3.58,0.77,1.19,1.49,10.39,36.35,10.93,0.2,Mid,5.05,Medium,0.95,FALSE,0.98,0,1,0,0,1,-1.48,10.55
Lic Mf Ultra Short Duration Fund Reg(G),Rahul Singh,Dt Usd,345.7,0.95,Open Ended,27-11-2019,Crisil Ultra Short Term Debt Index,0.57,1.63,3.34,6.88,6.41,5.68,4.89,,,,, ,2.77,9.92,20.3,0.02,0.29,5.89,5.82,0.14,Mid,7.24,Low,19.59,TRUE,15.11,0,0,0,0,1,1.85,5.28
Lic Mf Value Fund Reg(G),Nikhil Rungta,Eq Val,142.7,2.52,Open Ended,20-08-2018,Nifty 500 Tri,2.61,-0.68,8.65,30.44,27.14,19.4,20.61,,28.44,7.65,61.99,Financials,19.61,1.46,2.13,0.99,16.81,7.16,23.48,0.08,Mid,12.08,High,1.15,TRUE,1.8,0,1,1,0,1,3.53,20
Mahindra Manulife Aggressive Hybrid Fund Reg(G),Fatema Pacha,Hy Eq,1503,2.07,Open Ended,19-07-2019,Crisil Hybrid 35+65 Aggressive Index,-0.76,-4.94,1.73,19.73,22.16,15.96,18.88,,55.83,11.46,10.42,Financials,10.56,1.33,1.98,1.64,11.55,6.25,18.19,0.1,Large,9.53,Medium,1.38,FALSE,1.66,0,1,1,0,1,-1.32,17.42
Mahindra Manulife Arbitrage Fund Reg(G),Navin Matta,Hy Arb,106.5,1.21,Open Ended,24-08-2020,Nifty 50 Arbitrage,0.53,1.49,2.78,6.09,5.94,5.02,,,57.32,11.59,,Energy,2.24,1.88,4.05,-0.1,1.03,5.15,5.56,0.2,Mid,5.03,Low,4.87,TRUE,2.96,0,0,0,0,1,1.6,5.02
Mahindra Manulife Asia Pacific Reits Fof Reg(G),Krishna Sanghavi,Fof Ovr,22,1.36,Open Ended,20-10-2021,Ftse Epra Nareit Asia Ex Japan Reits Index,-2.6,-13.35,5.34,-9.69,-4.31,-5.2,,,,,, ,-19.38,-1.06,-1.84,1.56,13.56,3.99,-7.44,-0.14,Small,-7.12,Medium,-0.38,FALSE,-1.45,1,1,0,1,0,-3.54,-5.2
Mahindra Manulife Balanced Advantage Fund Reg(G),Manish Lodha,Hy Dyn,904.3,2.22,Open Ended,30-12-2021,Nifty 50 Hybrid Composite Debt 50 - 50 Index,0.13,-2.51,1.44,14.13,17.5,12.46,,,39.14,17.72,8.7,Financials,4.94,0.94,1.31,1.83,10.9,3.8,13.3,0.16,Large,6.36,Medium,1.14,FALSE,1.12,0,0,0,1,1,-0.31,12.46
Mahindra Manulife Business Cycle Fund Reg(G),Krishna Sanghavi,Eq Them,1183,2.11,Open Ended,11-09-2023,Nifty 500 Tri,-1.62,-9.45,-1.14,24.82,,,,,54.23,9.11,32.4,Financials,16.03,1.2,1.7,1.06,17.75,2.1,24.82,0.09,Large,11.76,High,,FALSE,1.45,0,1,1,1,1,-4.07,
Mahindra Manulife Consumption Fund Reg(G),Navin Matta,Eq Cons,423.3,2.37,Open Ended,13-11-2018,Nifty India Consumption Tri,-0.14,-9.4,1.44,22.33,25.7,19.33,17.78,,60.87,10.88,24.28,Fmcg,13.81,1.32,2.24,0.74,13.35,6.93,19.81,0.11,Mid,9.42,Medium,1.45,TRUE,1.78,0,1,1,0,1,-2.7,18.56
Mahindra Manulife Dynamic Bond Fund Reg(G),Rahul Pal,Dt Cr,80.1,1.57,Open Ended,20-08-2018,Crisil Dynamic Bond Index,0.33,0.23,3.41,8.32,7.05,4.94,4.56,,,,, ,1.01,2.09,3.59,1.04,1.96,7.16,5.94,0.19,Small,5.3,Low,2.52,FALSE,2.84,0,0,0,0,1,1.32,4.75
Mahindra Manulife Elss Tax Saver Fund Reg(G),Fatema Pacha,Eq Elss,931.2,2.17,Open Ended,18-10-2016,Nifty 500 Tri,-1.2,-7.02,-2.31,12.71,19.63,13.57,18.27,,63.54,14.62,17.54,Financials,4.38,0.66,0.96,0.92,13.73,9,14.85,0.17,Large,5.86,Medium,0.99,TRUE,0.81,0,1,1,0,1,-3.51,15.92
Mahindra Manulife Equity Savings Fund Reg(G),Manish Lodha,Hy Eq,580.1,2.35,Open Ended,01-02-2017,Nifty 50 Equity Savings Index Tri,-0.17,-1.75,1.22,8.4,11.6,8.49,10.83,,49.85,8.37,7.86,Financials,1.79,0.77,1.12,0.86,5.57,8.71,9.24,0.28,Large,3.57,Medium,1.52,TRUE,0.94,0,0,0,0,0,-0.23,9.66
Mahindra Manulife Flexi Cap Fund Reg(G),Fatema Pacha,Eq Flex,1457.5,2.06,Open Ended,23-08-2021,Nifty 500 Tri,-0.97,-7,-1.23,15.23,23.45,15.74,,,62.8,17.36,17.5,Financials,6.7,0.8,1.16,0.95,14.43,4.15,15.48,0.14,Large,7.39,Medium,1.09,TRUE,0.98,0,1,1,1,1,-3.07,15.74
Mahindra Manulife Focused Fund Reg(G),Krishna Sanghavi,Eq Flex,1880,2.02,Open Ended,17-11-2020,Nifty 500 Tri,-2.29,-9.14,-3.11,20.09,25.99,20.03,,,81.42,6.65,6.6,Financials,11.47,1.07,1.57,1.02,15.58,4.92,20.06,0.1,Large,9.95,High,1.29,FALSE,1.32,0,1,1,1,1,-4.85,20.03
Mahindra Manulife Large & Mid Cap Fund Reg(G),Manish Lodha,Eq L&M,2537.6,1.95,Open Ended,30-12-2019,Nifty Largemidcap 250 Tri,0.52,-6.06,-1.4,16.52,24.76,16.84,22,,45.7,35.62,15.53,Financials,8.32,0.75,1.03,1.07,18.27,5.8,18.45,0.12,Mega,8.47,High,0.92,FALSE,0.89,0,1,1,0,1,-2.31,19.42
Mahindra Manulife Large Cap Fund Reg(G),Fatema Pacha,Eq Lc,595,2.34,Open Ended,15-03-2019,Nifty 100 Tri,-2.03,-7.7,-2.46,13.22,18.18,12.65,15.54,,85.1,7.86,3.88,Financials,4.79,0.69,1.03,0.97,13.95,6.59,13.8,0.18,Large,5.65,Medium,0.91,TRUE,0.86,0,1,1,0,1,-4.06,14.1
Mahindra Manulife Liquid Fund Reg(G),Rahul Pal,Dt Liq,1310.8,0.27,Open Ended,04-07-2016,Crisil Liquid Debt Index,0.59,1.75,3.55,7.35,7.19,6.42,5.36,,,,, ,0.73,12.53,5.44,,0.06,9.29,6.38,0.04,Large,27.22,Low,107,FALSE,8.98,0,0,0,0,1,1.96,5.89
Mahindra Manulife Low Duration Fund Reg(G),Rahul Pal,Dt Lowd,593.9,1.09,Open Ended,15-02-2017,Crisil Low Duration Debt Index,0.59,1.68,3.54,7.15,6.91,5.84,5.39,,,,, ,2.87,9.57,18.57,0.08,0.32,8.67,6.13,0.15,Large,6.56,Low,18.25,TRUE,14.07,0,0,0,0,1,1.94,5.62
Mahindra Manulife Manufacturing Fund Reg(G),Renjith Sivaram,Eq Them,895.6,2.23,Open Ended,24-06-2024,Bse India Manufacturing Index Tri,-2.77,-10.19,-6.13,,,,,,48.53,9.18,39.9,Automobile And Ancillaries,,,,,,1.31,,,Large,,,,FALSE,,0,0,0,1,0,-6.36,
Mahindra Manulife Mid Cap Fund Reg(G),Kirti Dalvi,Eq Mid,3460.9,1.89,Open Ended,30-01-2018,Nifty Midcap 150 Tri,0.34,-5.06,1.92,28.98,38.31,24.42,27.84,,22.99,60.54,12.58,Financials,19.23,1.35,1.93,1,18.04,7.72,27.08,0.07,Mega,15.33,High,1.35,FALSE,1.64,0,1,1,0,1,-0.93,26.13
Mahindra Manulife Multi Asset Allocation Fund Reg(G),Renjith Sivaram,Hy Multi,544.8,2.04,Open Ended,13-03-2024,Nifty 500 Tri,-0.72,-3.2,1.23,,,,,,22.87,6.97,9.68,Financials,,,,,,1.59,,,Large,,,,FALSE,,0,0,0,1,0,-0.9,
Mahindra Manulife Multi Cap Fund Reg(G),Manish Lodha,Eq Mlc,4857.8,1.84,Open Ended,11-05-2017,Nifty500 Multicap 50 - 25 - 25 Tri,1.8,-5.05,1.15,23.18,29.52,19.54,24.44,,42.52,28.2,24.19,Financials,14.34,1.06,1.46,1.07,18.68,8.44,22.39,0.08,Mega,12.6,High,1.05,FALSE,1.26,0,1,1,0,1,-0.7,21.99
Mahindra Manulife Overnight Fund Reg(G),Rahul Pal,Dt On,300.7,0.19,Open Ended,23-07-2019,Crisil Liquid Overnight Index,0.55,1.6,3.23,6.61,6.59,5.94,4.84,,,,, ,0.25,31.92,1.96,,0.01,6.24,5.8,0.03,Mid,34.79,Low,594,FALSE,16.94,0,0,0,0,1,1.79,5.39
Mahindra Manulife Short Duration Fund Reg(G),Rahul Pal,Dt Sd,69.7,1.26,Open Ended,23-02-2021,Crisil Short Duration Debt Index,0.55,1.43,3.87,7.47,7.04,5.58,,,,,, ,2.49,5.18,10.84,0.3,0.65,4.65,6.52,0.17,Small,5.93,Low,8.58,TRUE,8.01,0,0,0,1,1,1.95,5.58
Mahindra Manulife Small Cap Fund Reg(G),Vishal Jajoo,Eq Sml,4269.3,1.84,Open Ended,12-12-2022,Bse 250 Small Cap Tri,-0.2,-6.46,2.66,27.43,41.94,,,,11.11,8.54,75.6,Capital Goods,18.72,1.2,1.71,0.98,19.63,2.85,27.43,0.07,Mega,14.91,High,,TRUE,1.46,0,1,1,1,1,-1.33,
Mahindra Manulife Ultra Short Duration Fund Reg(G),Rahul Pal,Dt Usd,222.5,0.7,Open Ended,17-10-2019,Crisil Ultra Short Term Debt Index,0.62,1.73,3.53,7.3,7.09,6.18,5.54,,,,, ,3.15,10.51,22.07,0.04,0.31,6,6.34,0.1,Mid,10.43,Low,19.94,TRUE,16.29,0,0,0,0,1,1.96,5.86
Mirae Asset Aggressive Hybrid Fund Reg(G),Harshad Borawake,Hy Eq,9054.4,1.72,Open Ended,29-07-2015,Crisil Hybrid 35+65 Aggressive Index,-1.15,-5.47,1.08,13.84,16.88,11.97,14.38,,54.5,10.2,10.19,Financials,4.33,0.89,1.29,1.88,11.04,10.22,13.4,0.12,Mega,8.05,Medium,1.08,FALSE,1.09,0,1,0,0,1,-1.85,13.18
Mirae Asset Arbitrage Fund Reg(G),Jignesh Rao,Hy Arb,3061.2,0.92,Open Ended,19-06-2020,Nifty 50 Arbitrage,0.67,1.81,3.41,7.42,7.25,6.21,,,48.47,20.78,6.94,Financials,3.58,3.2,7.16,-0.09,1.03,5.33,6.82,0.12,Mega,8.07,Low,6.03,TRUE,5.18,0,0,0,0,1,1.96,6.21
Mirae Asset Balanced Advantage Fund Reg(G),Harshad Borawake,Hy Dyn,1774.8,2.07,Open Ended,11-08-2022,Nifty 50 Hybrid Composite Debt 50 - 50 Index,-0.2,-2.64,1.77,11.3,15,,,,49.9,7.71,7.85,Financials,3.5,0.96,1.39,1.26,7.47,3.18,11.3,0.18,Large,5.46,Medium,,FALSE,1.17,0,0,0,1,1,-0.36,
Mirae Asset Banking And Financial Services Fund Reg(G),Gaurav Kochar,Eq Fin,1857.4,2.05,Open Ended,11-12-2020,Nifty Financial Services Tri,-1.39,-4.5,-1.71,12.13,17.01,15.83,,,64.26,15.24,19.93,Financials,3.75,0.54,0.79,1.04,16.53,4.85,13.98,0.17,Large,5.92,High,0.96,FALSE,0.66,0,1,1,1,1,-2.53,15.83
Mirae Asset Banking And Psu Fund Reg(G),Kruti Chheta,Dt B&Psu,53.4,0.81,Open Ended,24-07-2020,Crisil Banking And Psu Debt Index,0.65,1.58,3.97,7.91,7.11,5.61,,,,,, ,2.62,4.57,9.46,0.41,0.84,5.23,6.76,0.1,Small,9.77,Low,6.68,TRUE,7.02,0,0,0,0,1,2.07,5.61
Mirae Asset Bse Sensex Etf,Ekta Gala,Eq Etf,14.9,0.05,Open Ended,29-09-2023,Bse Sensex Tri,-1.63,-6.68,-0.81,9.83,,,,,99.22,0.72,,Financials,1.76,0.46,0.71,0.99,13.83,2.05,9.83,0.01,Small,196.6,Medium,,TRUE,0.58,0,1,0,1,1,-3.04,
Mirae Asset Corp Bond Fund Reg(G),Amit Modani,Dt Corp,42.4,0.67,Open Ended,17-03-2021,Crisil Corporate Bond Index,0.67,1.61,4.07,7.98,7.11,5.66,,,,,, ,2.67,4.63,9.35,0.4,0.84,4.59,6.82,0.08,Small,11.91,Low,6.74,TRUE,6.99,0,0,0,1,1,2.12,5.66
Mirae Asset Crisil Ibx Gilt Index April 2033 Index Fund Reg(G),Amit Modani,Dt Gilt,252,0.39,Open Ended,20-10-2022,Crisil Ibx Gilt Index April 2033,0.47,1.03,4.7,9.33,8.45,,,,,,, ,2.04,2.73,4.95,0.99,1.83,2.99,9.33,0.04,Mid,23.92,Low,,TRUE,3.84,0,0,0,1,1,2.07,
Mirae Asset Dynamic Bond Fund Reg(G),Amit Modani,Dt Dyn,119.9,1.08,Open Ended,24-03-2017,Crisil Dynamic Bond Index,0.5,1.38,3.5,7.11,6.43,4.71,5.2,,,,, ,2.34,5.24,11.59,0.22,0.57,8.57,5.67,0.15,Mid,6.58,Low,8.26,TRUE,8.41,0,0,0,0,1,1.79,4.96
